9383 27072
6967 4182 686
1548 5072 501
588 5238 709
2253 1866 -809
7612 2859 -360
4223 2607 -470
3404 6217 438
127 9245 885
9131 1713 132
3900 2929 -644
1900 1248 231
1802 6252 -828
2695 6735 -315
9300 5082 177
3834 8062 -620
8578 9331 -524
6828 2382 -491
8804 6988 -297
4085 492 82
9045 2782 283
3821 796 -796
2772 1203 735
7798 8207 181
2403 5963 -291
7083 7148 -305
253 3746 795
7256 1410 -337
7523 8976 284
2105 7615 -781
1944 3741 -754
3736 1461 -707
7271 6268 267
1343 2473 375
4696 3407 -179
6508 177 -717
3551 7037 -204
2755 1394 -147
8676 5705 -262
4029 7926 -575
7319 4966 564
8311 8139 400
524 7712 737
6734 598 802
6348 4266 637
5352 818 -788
4417 8227 163
2299 5647 -142
7123 1241 11
31 7183 -774
3575 8522 473
6297 7634 -698
245 562 825
3121 7415 -112
8097 6961 523
300 3384 664
3837 569 572
8191 7197 811
7417 4312 965
6491 2632 210
2859 5770 -137
8382 5013 -852
3073 5508 346
6011 6940 -572
1205 3755 286
6543 6446 937
4858 5829 -424
8554 2770 174
332 6998 711
1176 4955 -919
3432 8602 622
4549 2797 849
7722 144 83
1508 8818 -35
7048 1004 149
5115 4120 -746
8436 9031 -353
6958 1722 334
5338 1105 -84
3900 2657 503
3671 6059 -910
6737 2570 506
9221 5367 670
5055 5018 488
1127 3843 -407
4187 5500 -743
2306 6615 -454
2983 1812 413
5366 2500 654
5467 412 -379
1798 6428 236
2705 773 -67
2354 401 51
9093 1501 659
5498 4302 651
3265 7113 -368
1317 6906 -683
7577 2681 824
4941 3063 -884
9374 1658 -874
2819 3005 899
9033 8593 469
7319 8944 -90
2336 4733 331
4227 1574 351
899 4391 358
8477 6358 57
5453 5654 -658
2510 6302 -816
2797 4635 -526
1245 7680 931
5128 8901 -904
3739 667 251
6827 5796 -422
4160 2095 178
4163 7486 -570
6051 8440 1000
7168 7452 -924
6678 3171 -645
6359 304 502
7505 545 970
6590 8184 -540
6154 6426 573
1201 8961 -579
9260 4517 406
7963 7081 -609
1100 6770 -474
6254 1547 -789
8624 8157 -773
19 3901 960
3667 3721 501
8226 6168 -752
698 3574 -480
4154 6669 640
2751 1392 71
8354 5118 -951
7000 4573 -937
2916 3486 -441
795 6558 -502
2844 1425 -429
8151 8828 918
8785 2923 840
4858 5884 -690
4580 5420 658
2006 2629 556
8600 4641 119
6288 3215 -409
1739 6427 453
3692 6425 323
412 4999 -513
7041 1469 867
4835 3958 -378
3258 8957 127
3710 3502 -570
6639 2568 -218
6930 314 805
1387 8462 303
253 2264 -262
3271 3520 -993
9014 4144 -369
3151 4813 28
6118 7733 380
6568 8575 -455
3252 8500 -453
1316 7032 711
6871 7032 156
5993 8835 303
1102 3338 955
3038 6988 -288
2082 6303 37
389 2833 686
2207 4862 -772
1690 1576 -701
6448 6255 -854
3971 1584 -583
7166 3951 -336
515 3332 506
8012 419 305
5827 2288 -195
873 1941 -89
3457 4708 471
2696 4969 -698
6246 4879 -812
7018 3594 556
9010 1986 232
1917 1744 863
4247 569 -569
7637 2463 -505
9137 450 889
5921 4816 588
1506 8386 -397
5230 3360 883
2065 239 757
4872 8451 -208
2380 1144 -643
5922 9328 -536
1039 5264 471
7012 418 -450
6370 6218 -57
8775 1947 -39
8436 2022 32
1368 6030 -917
969 1533 390
3689 4259 -902
7716 1856 240
6886 4056 923
5977 4204 472
4660 1791 168
1378 1932 185
8417 9047 -588
6778 7322 838
2914 4990 -35
5100 3515 -113
5558 1875 -113
8103 4180 -300
9359 1572 403
2265 7430 407
8191 8193 981
1935 1877 -613
310 5730 669
8922 9029 330
4589 6439 -547
3391 7511 -594
4100 8126 596
6075 3205 -453
5388 8320 -937
2957 5645 590
2409 2138 390
65 3826 587
4261 706 111
8061 2236 -657
3610 6652 44
7550 6662 585
886 7779 542
631 4716 -956
5165 9156 -12
3568 4524 58
7672 2288 414
6550 4522 -56
7219 4717 440
3323 4039 -299
8635 4322 616
5043 2980 -643
1867 5346 697
6471 6627 -57
3711 9071 -442
8275 4419 567
6174 2410 -646
1524 885 158
1713 4756 125
2307 8621 657
4733 1215 -710
7899 1710 -678
4425 6685 -468
9035 4446 644
1590 1017 -914
8815 8313 -408
1021 8205 604
9274 8114 -456
3422 9055 932
5231 7113 732
1343 9141 -998
7941 7157 957
2193 5458 -277
8202 1209 -417
6296 2006 -68
596 2515 310
4466 6068 954
6523 804 180
1945 3027 749
1869 7933 -869
9308 3936 867
9033 4936 392
2838 2619 -71
7770 7686 -20
6414 7894 -605
6253 316 -319
2239 3356 -123
3008 1930 314
6580 3979 -672
5330 4099 656
3322 3205 -40
1031 2214 315
4162 6978 976
8927 1226 -990
5049 933 426
2412 7255 -841
7640 5744 -645
2203 9307 -365
2881 1238 -746
3288 557 -622
8133 461 952
5660 362 -397
5296 7362 -187
4801 4888 -140
2269 8857 13
5437 3106 -778
4266 788 -934
2394 861 -774
5379 8175 147
4676 5906 -200
6697 1862 -570
226 4554 769
7103 7997 256
9031 2031 708
7945 5040 -86
1563 1343 347
3614 692 834
3194 4679 -865
8041 3484 590
8006 7007 163
2680 1786 39
7857 2169 -670
8770 1513 750
6189 7238 -876
5783 944 353
4426 5730 -313
6369 4891 -340
6543 9225 -656
5971 8511 175
5197 3980 -443
6537 5987 -425
4798 1426 -964
9314 3894 -86
4058 1734 -172
642 2402 -811
5021 3407 -228
712 5402 -153
3497 9178 -928
4496 5529 553
7206 5818 291
3838 2024 -380
3029 5054 -666
4470 8849 -596
8448 8346 -413
3095 6742 -269
5751 3141 -688
8469 580 -458
1603 8910 313
1244 3011 976
7513 2023 -234
1668 1507 -692
8128 9012 -636
7476 5846 -729
1113 1137 -264
5329 1239 919
5014 6485 781
3196 922 658
8649 6977 -156
7656 3412 576
8635 4649 -188
5077 6841 -688
3851 8276 -9
3498 1739 569
3083 2923 -19
4549 9289 380
4958 940 -732
6422 1279 612
9185 4308 -24
3605 6914 -983
5659 9118 -595
4464 3646 133
6178 3280 -900
2983 6869 -225
8213 4805 -690
2742 5823 51
1367 2997 841
9051 3778 -279
414 541 440
104 5561 -326
3411 6174 -302
6603 7474 492
8443 1560 42
7071 8762 112
835 5840 85
4510 8719 899
1075 8008 -116
3568 9284 -480
1139 4449 -399
806 6014 -993
7313 6996 790
5936 8104 681
4600 720 121
6115 5194 120
2542 7445 -49
3308 9023 83
4298 8036 380
2289 9066 -725
7036 634 -954
1765 336 219
8459 1232 733
1795 2424 -170
6642 3831 741
6258 3740 -603
6128 100 -811
7919 417 -315
3467 832 180
3137 2928 11
6636 8579 -506
6423 936 -757
9214 241 764
9144 8649 -974
2332 4644 -690
995 5037 699
3336 1884 -681
1271 9134 937
3568 6707 698
2713 8815 300
5877 8351 -856
8700 1014 372
9274 1449 -462
8615 3521 -227
5850 5268 -244
4208 1974 701
5875 9127 186
8489 8425 -844
8349 363 -616
639 8415 667
5925 8389 -474
4289 3787 -418
6080 2933 417
8440 8439 -702
5017 3482 -230
5365 3207 203
3032 7715 10
7739 1240 -140
9053 6076 244
126 7765 -961
1530 8234 -925
5769 3935 729
6701 8384 -994
373 2153 -305
2574 3666 862
4556 5075 156
5552 7651 954
1334 4793 856
2909 130 394
755 8823 55
1315 8272 -381
6666 1889 333
7411 5990 -61
6640 6423 111
4857 4289 -711
2827 6703 -400
7615 7270 983
7170 3744 -140
1030 3873 444
8361 7100 962
6260 4612 -452
8739 3429 674
5415 3354 779
6473 7293 305
8144 7328 85
5107 7966 -741
7074 1441 428
5236 1395 -145
233 3341 -659
7209 6792 575
1414 3640 561
3195 1479 979
4990 9275 28
2299 582 -555
7249 4772 745
5972 2389 -111
6163 4429 -904
1382 393 299
9292 9011 -418
6182 1923 191
4169 6857 -893
790 4572 580
3009 5049 205
4549 7824 -249
8576 3477 179
6249 1922 -755
3513 1803 773
6957 7809 -755
7639 3607 -742
2934 5199 620
3272 4082 -770
6224 2598 623
8787 748 942
1925 3273 242
5396 638 127
1611 4249 75
107 684 86
4878 559 -365
4232 3082 130
3507 5302 -284
2082 8623 -503
217 5149 785
583 5048 -721
5562 2505 -80
1842 3850 774
3161 4692 -1
6692 3341 -779
1763 5784 513
171 47 730
3269 8807 -961
8750 717 386
382 4134 123
3762 9012 -170
1632 2783 603
5014 3973 -950
7882 3322 -420
3644 5910 -481
3076 3445 675
4708 4171 -872
287 5973 -612
943 633 -511
8883 6339 451
7864 1050 796
6471 1860 747
6062 4067 874
3790 6538 -314
6260 2118 -783
2137 1718 22
1039 1715 -917
2116 4517 -163
7274 8243 -640
1436 7166 -744
9042 3519 69
1449 1835 -245
2778 8495 -773
3319 2608 -202
80 851 818
304 2749 -350
6999 6906 -922
6623 3105 836
6869 5792 -301
8492 7411 -442
1945 5179 984
1777 2649 -86
8995 2895 -124
6645 637 126
2645 3071 148
1186 6409 -368
7447 6370 -160
3133 5871 378
575 8871 173
4257 1703 -520
2493 4737 972
9317 6853 -2
1342 8064 389
4704 4724 -968
6885 8314 189
7610 8844 287
2758 2150 -450
6806 4433 712
6899 7769 544
1636 6058 499
8240 6835 694
3252 2885 298
3706 2535 272
2945 4731 158
7321 2717 565
4088 6507 498
3268 8420 -542
2289 5005 -553
5375 8813 -352
1227 1872 -924
534 6872 -64
1330 3069 -600
9183 3682 -681
8119 3532 -104
9083 6472 -995
5217 3230 -467
4703 1662 -211
6503 4387 459
4500 3417 -680
2759 7507 932
2802 6007 -602
1625 1297 -286
6075 2479 -886
2884 4930 126
880 617 672
1957 1066 244
5357 3388 317
6210 7302 27
1084 8766 962
567 1184 -58
5612 4330 835
5874 8849 -563
7518 3493 13
9311 1844 -636
3015 1483 380
1887 8035 -134
6027 4602 579
8503 8852 -32
2091 42 552
8483 3118 512
6012 3917 730
3534 3015 825
7238 3630 -19
4240 1188 -193
3943 3325 205
8696 709 -92
7697 1864 152
9272 403 925
7883 1228 772
6453 7534 189
1789 7858 -545
5462 7587 -718
341 5463 894
5623 5244 -221
4730 488 -679
3848 4901 644
8021 2513 722
618 3257 -129
1022 1429 -999
5863 7477 266
1288 6530 -374
8689 1809 492
8329 2512 -319
751 4401 -723
4328 4752 -677
4167 3307 -421
9005 4482 -10
5483 1167 -219
2496 7625 958
151 1421 -610
3774 1267 273
2559 6596 -213
9277 7478 -721
8282 4645 868
5383 7292 646
6736 2734 -312
7684 5632 871
457 1610 961
7709 5298 98
1738 699 -103
6968 3544 -936
7580 6628 990
36 5750 -353
4086 3083 501
5915 5446 429
6884 1702 -228
7448 6725 -608
2417 1202 -191
1595 6498 0
4643 5703 -748
8766 3780 641
1340 5730 -543
7502 1741 -580
1044 8054 -62
2229 7554 194
1130 2837 667
6089 5011 632
5768 915 -114
8656 2797 828
1605 1900 58
6481 5541 -751
91 8625 790
4510 4026 -735
5725 4394 861
1068 5695 786
4419 8548 -86
5334 3365 -759
967 3248 222
4684 5033 -323
7138 5027 172
1078 3788 -970
6669 7343 -714
8642 8264 -229
2858 3652 -622
6802 6282 -727
7843 5709 -631
5844 8569 -740
6080 6281 -411
5130 2210 32
3220 7446 -521
7711 9055 628
3385 8941 -809
8688 8336 879
5057 3651 -15
5795 6100 13
6649 642 485
4975 808 186
1786 4199 -28
2876 3549 -57
8452 5517 -202
4025 4707 -519
6546 1249 199
8306 1492 412
4007 8290 -767
7556 4706 977
7963 1259 378
4389 6088 827
759 8487 401
355 5205 -479
2458 7955 324
6897 8606 410
5568 3434 595
4450 6094 502
35 3118 -399
3138 6680 806
6215 5731 805
8056 1219 -819
1407 4652 911
1706 3291 601
776 5797 23
977 8714 -278
6389 4382 85
7124 1029 27
3779 8654 749
3954 3035 151
1285 1366 -487
7286 8971 801
5148 3698 914
8025 3277 -960
9217 6038 -356
8076 6878 441
7565 2285 123
4887 4928 650
9012 7704 134
3001 1145 -125
838 8982 -322
3887 1322 -190
8483 2770 417
2183 559 416
8975 1915 309
1775 6785 -584
2498 3069 -128
6776 5981 -107
5276 2586 -542
1063 6090 -717
7406 6108 -722
7767 1170 238
5113 8974 -818
3828 9154 34
3314 8492 348
2163 7309 -370
8025 977 -467
7028 7654 -543
1232 4941 -219
3400 9241 275
7302 3481 -329
4094 553 236
1877 2247 -293
8183 8061 724
3268 8628 -787
1151 5808 -243
3270 2096 917
693 5828 164
474 7873 582
5193 7432 -445
1089 4318 -412
8416 1086 -956
6367 7748 -825
315 4588 -754
6620 9338 901
2579 7981 533
2058 8432 -240
1074 2602 784
5243 3993 496
7423 122 -867
3597 4876 -465
5562 2811 -638
129 9281 182
7048 9149 538
7692 8716 -117
9082 1622 -771
3460 3993 27
5394 298 -227
8207 3851 -600
2773 7560 207
5996 1045 334
4480 9028 393
1181 5474 -532
8523 2055 146
4261 1652 -921
8551 50 659
8000 6082 -708
1392 7470 -266
5622 8888 619
1834 295 -703
4942 985 725
8591 4562 271
3699 5819 693
1301 552 966
598 1770 -426
5460 544 -784
5280 4229 -630
7263 7540 -67
7293 5601 -666
1310 2655 -232
4246 6166 -224
6107 2947 789
5580 3608 48
518 5717 111
7753 553 466
1972 996 -785
932 7395 -280
5665 3016 897
6720 7395 -548
5932 8099 823
2397 596 -688
849 6323 518
5286 3240 -994
336 5482 876
9217 5431 929
9378 790 456
8069 9293 -894
2952 1750 -458
8191 8658 866
1952 2819 -634
6836 3317 -520
1602 4091 -794
302 3023 236
6743 4166 -561
7170 2531 112
1259 6227 15
172 6354 -649
4436 7881 -78
4231 6964 -110
6067 7630 472
7342 680 685
767 5259 -865
7102 6093 147
59 4363 134
4947 5738 678
5330 5665 -92
2817 1109 834
7253 3625 -64
5266 5450 175
8647 2493 310
3916 5159 17
7124 2046 17
6560 7398 -581
3653 1278 -347
7108 864 -565
7785 1232 -243
5038 8551 -391
8883 1484 -200
4228 7279 -96
8177 9125 16
8916 4146 366
452 1442 -979
4360 2873 889
2456 6434 808
6512 5089 164
7891 740 -73
7225 3604 988
1186 6907 553
1367 4962 635
5659 7225 -20
2923 2231 599
5016 7106 -546
5753 8380 834
5384 8814 160
6140 1784 -584
9159 2723 -726
1713 3025 -3
7666 6871 -935
1313 3356 -34
5811 4014 -413
8076 8846 312
3960 231 -11
7317 893 -636
92 8846 -300
5320 8487 903
6577 1981 -148
3852 5828 -60
6387 5378 762
8134 5644 -59
7471 9252 424
3544 2818 940
6871 75 1
1848 1622 -452
8269 5123 -729
3979 5494 815
2280 7301 -513
8229 37 761
1879 2782 -380
4071 345 576
2281 1198 -521
7667 2836 -810
1489 5264 880
4367 415 -119
8969 7227 -334
528 5810 -634
1865 643 -353
2247 1825 476
4595 5283 959
4616 6114 18
4093 3682 -734
7139 3600 -123
236 251 -561
5131 4854 539
1387 8988 -963
6999 8689 -80
6982 5257 484
6756 2674 -872
9190 5468 359
8898 6471 -879
7674 8797 -277
1321 6689 -47
7513 6571 176
1850 4361 -414
9373 6336 -578
3947 8107 -85
3994 2024 -704
8534 9226 688
7833 718 767
2948 4469 -536
4110 7545 261
8554 2268 351
7600 7618 -757
7872 201 -384
966 6949 -295
6449 8901 -181
2759 788 929
6907 8188 -564
2700 5608 -818
6366 4256 -127
9210 5281 615
7721 6960 -973
7539 2613 832
2370 4277 880
4974 678 -756
4503 1413 -863
5411 9302 -206
2757 100 432
5960 5852 -677
2406 3960 428
6434 1234 -32
2041 2033 -168
7870 1617 -610
3048 1179 953
6030 8976 -983
4457 158 -783
6181 5993 -119
8092 646 -199
8950 5463 -16
3318 6417 -9
4319 6833 487
2360 4574 -812
8030 6859 765
5682 9216 -489
272 8374 685
2142 9356 -956
2808 4471 -486
3638 3978 -356
7179 4857 182
4750 9305 379
7971 3972 85
8217 4557 -897
7561 6490 198
1865 2040 -696
2987 1645 -524
7210 4366 738
4330 2080 548
6176 4533 -224
5426 663 -165
360 5695 -88
7223 2418 672
1506 960 -721
8128 3902 -480
2003 5524 281
5298 1534 -490
9164 1686 62
8704 7765 -433
4647 970 -836
6438 4432 386
6527 6393 411
6287 7518 -124
8125 5303 -947
5671 5565 -658
3576 5430 -737
4706 6338 810
8062 6073 -280
4625 5906 913
8790 4533 178
9012 4959 -135
6583 6168 -405
1053 7530 -777
2408 5152 -827
1371 7664 -468
7629 7831 311
7613 9265 -280
6840 6187 -848
2874 5503 199
6757 923 -789
7696 6171 -898
1249 6460 -332
3319 8960 853
6536 2615 -397
4235 2626 -615
2998 7134 -926
7822 941 593
5159 5360 791
1321 1643 133
5089 2628 -850
2918 3682 -597
4989 9032 -467
7270 7742 -131
568 6455 137
6533 3910 185
6456 7153 689
8227 6578 -15
8884 4914 -152
1432 7326 309
3591 4265 -276
3034 2598 795
3832 6737 676
9238 5073 -637
6412 6868 -167
2022 8510 -81
6433 4863 -464
7399 8462 520
195 8798 575
3595 1665 959
5632 766 -260
1790 3399 -390
630 3172 -79
8589 6989 -926
7192 4497 -454
7866 6448 -665
6033 9148 145
4006 6932 464
8780 7597 745
7000 8185 -824
2616 2968 -108
8861 8423 849
2200 5582 -243
4219 6776 -288
4800 2636 983
3795 7070 -364
3641 5592 -278
5723 1729 267
889 671 -915
1043 5667 -187
1804 5830 770
7471 734 -75
2998 9186 -535
4094 4496 -630
7705 7625 -306
7117 4124 88
5858 8343 245
4140 2824 334
1275 1421 642
8226 3170 405
8334 79 -518
9215 1208 424
9258 1766 -620
1607 2117 -686
7351 1400 -728
3561 7150 -742
895 7909 -695
5915 4709 699
2862 5556 530
8405 4413 963
40 4625 -827
2362 4326 698
2401 9061 103
4053 596 -346
1468 7700 853
4892 1769 -995
6269 6936 132
3963 2287 -295
689 5126 342
3583 7169 -464
8356 2100 407
3747 3454 -72
2368 7778 -69
1194 2025 -76
7032 6427 984
442 5598 725
3615 3132 292
9150 551 -437
5050 1354 -759
4595 2034 -836
8434 7665 556
4548 4875 -899
3949 3221 -159
4062 5648 -308
4811 1937 -370
3808 1387 579
9045 1908 -140
3440 8935 85
9078 7701 -665
8804 1073 -642
2925 4417 -917
8935 6925 -273
5736 3183 167
945 1224 -552
4005 4519 928
5587 1956 177
937 2764 -305
316 4716 388
9140 7094 -488
1552 7539 374
6634 5805 147
7214 6887 -251
167 287 440
3299 2980 962
7906 7644 -747
2551 2689 985
6388 8908 -222
101 620 -855
4971 1326 -830
3493 8481 -808
956 7963 724
7820 6280 -832
4585 1482 -524
5722 129 -661
4321 4550 27
3608 7147 388
4020 3824 -561
8129 8990 -832
4667 3041 101
8631 3066 6
4501 5009 214
4106 934 -953
7427 5223 958
5844 4126 -946
341 5533 -383
7564 4254 849
5022 4969 664
193 6329 -871
1950 2405 18
3426 4653 -336
309 1829 -586
5058 1040 686
1182 7551 -310
6267 2437 -170
9251 6796 104
8308 1791 -125
8621 5570 -629
2430 5041 -35
201 5998 700
8778 5433 -3
8745 8135 927
805 5040 -405
4927 7769 715
3171 1184 474
2601 8929 858
9288 7307 952
8507 5114 -853
191 2758 62
4115 5924 319
1287 6738 193
3291 1010 537
8841 829 485
2400 7090 107
2012 6033 -484
4259 928 -1
1044 7294 883
2138 1185 329
408 3919 -621
7592 9255 1000
5198 7296 -478
8967 8678 556
1433 5408 -153
2547 5469 -1
6601 1235 -381
6849 1247 857
3663 8678 128
7152 6110 -830
4321 4198 -590
6980 6432 816
3873 7252 577
5500 5694 839
5365 887 84
8462 3518 -587
1551 5286 391
6604 1268 315
6146 5813 -973
1635 4250 736
5846 993 705
763 8638 945
617 8584 342
8497 5070 782
1380 4327 -755
3529 4126 773
3895 6701 232
7115 7889 -951
7242 7024 -349
1085 448 -742
1802 6091 -5
4619 5507 520
6571 7558 -59
7639 7961 975
6316 3138 119
2937 134 101
3094 3588 -567
6436 2284 -96
2045 7024 -101
7388 8701 977
9056 4232 633
1416 148 -415
7829 1684 -134
8900 2174 374
1274 1861 -428
478 8164 -228
4994 1450 -737
1959 1490 431
1271 4211 100
340 2422 65
1665 6405 -18
1443 5141 504
1142 5509 572
6538 1678 -832
4719 52 22
1435 6525 103
4931 475 343
7763 7961 762
3883 4064 535
34 5970 976
5916 4625 969
6744 7543 -599
3939 3559 -400
3361 1033 -334
6024 8906 -403
5562 2260 264
5413 7414 -806
8055 346 542
6728 4865 -99
1092 109 -654
5230 4467 17
5564 6047 468
6584 3138 124
1317 4022 442
2069 6577 992
7000 7827 -162
5344 3664 660
1243 922 745
838 72 141
3549 543 5
9045 2913 125
9340 7200 -378
9361 2867 -221
8773 4326 775
1413 3767 773
2047 3774 -542
5457 8275 -612
1384 1505 -765
104 3731 -577
4094 9299 -224
8454 7037 -568
1807 9132 -560
1856 523 927
4552 1677 -257
3510 3415 -147
8459 7998 -402
618 5469 -313
595 3788 524
2892 6153 -384
4291 9000 576
2799 5074 -132
5257 6525 -788
1808 1809 -729
8631 2790 908
2319 2648 -859
3400 5291 -22
7317 5636 -443
4341 5726 -506
9162 7063 52
8440 752 -108
4621 6468 34
4985 7813 394
6609 989 867
7888 9267 -960
2671 533 840
8969 124 315
6173 3822 -828
5473 7234 -838
6894 3147 -33
3274 4501 -2
3380 2681 495
4170 1328 -668
1233 5631 812
8233 2278 402
8647 1356 784
873 9062 -301
5996 6603 556
4744 51 -250
2948 7139 343
5189 9102 175
2380 3794 -802
1399 304 196
7715 9124 713
494 7270 441
9041 725 -99
8138 8759 231
2275 8254 -485
4878 5832 374
681 4676 704
2548 5190 -727
4784 6448 653
8614 6030 -555
7534 5042 -933
1139 9277 505
3018 8757 978
9364 4093 607
9004 7881 -841
272 5154 -637
2032 5711 -557
6612 8712 215
7005 8701 -766
4689 6605 908
3325 6557 -586
8796 5146 -202
8983 9244 586
8594 9132 928
5793 212 -397
21 4831 -660
1158 6470 18
4668 2510 -96
459 3066 127
2128 9014 -77
6184 9027 -335
8078 579 521
8398 9132 -984
7802 5507 -51
1919 4467 -913
1957 8046 -599
7727 1000 730
603 2299 874
7593 2814 507
6240 7802 638
7596 7424 -689
722 4863 -373
3920 6874 -445
6773 6790 812
6457 5688 492
584 1303 -986
4425 3091 630
3340 878 -809
7477 4828 455
2053 2487 -3
4529 8665 443
5364 5223 -621
4131 3770 711
5262 7357 634
3069 2960 -372
8281 6382 -656
617 8282 -751
6600 9285 254
4931 3355 -420
6081 6443 786
5091 723 -99
4733 2008 -708
897 7424 -974
5411 3070 339
6481 5926 -249
7606 3212 773
3393 7819 848
4405 2778 276
88 3361 479
5451 2758 -358
6364 4777 383
6614 1229 835
8163 9332 526
6797 3206 379
8255 3807 -264
6754 303 -737
2671 5663 226
6885 4374 -55
2175 1213 -249
4610 2273 261
6740 3638 -380
1547 5308 630
8639 3984 264
8837 3519 -613
3290 3816 30
3440 6582 -340
9261 326 83
8934 8558 -182
2265 3761 -202
8696 6869 718
2074 939 349
8740 3716 258
6727 292 -969
4425 890 846
4237 433 345
536 6431 261
7002 5630 -404
1989 7441 -17
8101 5522 669
1898 4403 20
113 714 956
8141 7354 -630
2577 1457 398
5600 2326 930
8023 7622 -302
1616 2532 564
2478 5948 923
1733 4145 -488
1783 5155 557
7299 4025 -319
5214 1752 -359
1048 8790 -383
4081 3774 687
7696 1522 -469
3946 4488 36
6382 8156 -719
7406 5717 789
3571 7957 -87
2024 1243 66
7158 7694 -548
4193 6855 606
7160 9219 360
8210 1319 -788
6324 1854 469
5469 193 918
6318 8124 782
1865 3662 250
8904 2788 756
7595 4341 -834
3390 3230 -283
2466 5922 -306
2755 6866 -543
1019 4402 534
6497 1855 -284
897 7650 -616
5724 7994 773
2982 3130 481
454 7774 -811
3015 3599 -292
2669 1883 -897
7781 5799 -925
7039 3061 137
5492 6815 169
8350 2377 258
1811 769 541
7736 5664 -187
7065 2326 276
1229 3819 843
5472 8760 -161
1883 1410 340
3080 4349 128
6411 2338 800
2402 9263 900
8673 6066 696
5848 4320 -704
318 535 993
3041 4473 -293
1065 8496 -796
298 5346 -556
5419 1219 -41
6194 909 -82
4394 3972 -788
4463 2950 -507
1759 29 -7
6886 5757 522
2971 5969 -244
1514 4284 699
8142 2990 924
7438 3784 136
2110 899 -727
1224 8515 22
3593 3398 573
912 4117 717
3639 1023 -834
5198 7884 761
6687 4078 -647
1376 2721 -425
354 5819 884
6385 6130 -393
1847 1314 68
1057 8379 -713
3911 5488 -306
778 3994 -536
1804 4402 -649
6642 9043 612
6309 3845 878
3673 8098 -69
4069 6700 531
958 3858 355
8947 2957 -662
8109 8471 640
4520 5745 702
8288 4306 -52
3164 9357 579
3998 5499 896
5603 952 -681
3621 1566 172
